water_object_observation_point,rate_state_aquatic_ecosystem,ingredients
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""",SO4
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.КАМА - пгт ГАЙНЫ""","""3Б Очень загрязненная""",SO4
"""р.КАМА - пгт ГАЙНЫ""","""3Б Очень загрязненная""",NO3
"""р.КАМА - пгт ГАЙНЫ""","""3Б Очень загрязненная""",NH4
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""","""Фенолы летуч."""
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""",NO2
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",Кислоpод
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Хлоpиды
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""","""Окисл. Бихp."""
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Никель
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""",Нефтепpод.
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Нефтепpод.
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Медь
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Кислоpод
"""Р.ОБЬ, Г.САЛЕХАРД 5,1КМ НИЖЕ ГОРОДА,В РАЙОНЕ Г/ПОСТА""","""4В Очень грязная""",Нефтепpод.
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""","""Железо общ."""
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",БПК5
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",Хлоpиды
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",SO4
"""Р.КЛЯЗЬМА, Г.ОРЕХОВО—ЗУЕВО, НИЖЕ ГОРОДА""","""4Б Грязная""",SO4
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",Маpганец
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",NO3
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",NO2
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",NH4
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",Хлоpиды
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""","""Хpом 6+"""
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",Фосфаты
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",Никель
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",Маpганец
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",SO4
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",NO3
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",NO2
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",NH4
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""",Цинк
"""р.Терек - г.Владикавказ""","""3Б Очень загрязненная""",Кислоpод
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""",Хлоpиды
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""",Маpганец
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""","""Железо общ."""
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""",NO3
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""",NO2
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""",NH4
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 0,3КМ ВЫШЕ БОРОВСКОГО ЗАЛИВА""","""3Б Очень загрязненная""",Маpганец
"""ВДХР КАМСКОЕ - Д.УСТЬ-ПОЖВА""","""4А Грязная""",Нефтепpод.
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",Цинк
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",Никель
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",Нефтепpод.
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",Нефтепpод.
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""",Медь
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",Медь
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",Маpганец
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",Кислоpод
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",БПК5
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",NO3
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",NO2
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 8,5КМ ВЫШЕ Г.ПЕРВОУРАЛЬСК""","""3Б Очень загрязненная""",NH4
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""","""Окисл. Бихp."""
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""",Маpганец
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""",Кислоpод
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""",SO4
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NO3
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""",Медь
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",Хлоpиды
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Цинк
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Нефтепpод.
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Окисл. Бихp."""
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Цинк
"""Р.ВОЛГА - Г.ЧКАЛОВСК 4.0 КМ ВЫШЕ ГЭС""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""ВДХР ГОРЬКОВСКОЕ - Г.ЧКАЛОВСК""","""3Б Очень загрязненная""",NO2
"""ВДХР КАМСКОЕ - Д.УСТЬ-ПОЖВА""","""4А Грязная""",Маpганец
"""ВДХР КАМСКОЕ - Д.УСТЬ-ПОЖВА""","""4А Грязная""","""Железо общ."""
"""ВДХР ГОРЬКОВСКОЕ - Г.ЧКАЛОВСК""","""3Б Очень загрязненная""",SO4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",NO3
"""ВДХР КАМСКОЕ - Д.УСТЬ-ПОЖВА""","""4А Грязная""",Хлоpиды
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",БПК5
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",Кислоpод
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",Маpганец
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",Медь
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",Нефтепpод.
"""р.Белая - г.Стерлитамак""","""4А Грязная""",Хлоpиды
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",Никель
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""","""Фенолы летуч."""
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Хлоpиды
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Хpом 6+"""
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Фосфаты
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Никель
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Фенолы летуч."""
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Маpганец
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NO2
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Железо общ."""
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",NO2
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",NO3
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",NH4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NH4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",БПК5
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Железо общ."""
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""",Хлоpиды
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",SO4
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""",Нефтепpод.
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""",Медь
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""","""Железо общ."""
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""",БПК5
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""",NO2
"""Р.СВИЯГА, Г.УЛЬЯНОВСК 0,5КМ ГОРОДА""","""3Б Очень загрязненная""","""Железо общ."""
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""",Медь
"""р.Белая - г.Стерлитамак""","""4А Грязная""",Нефтепpод.
"""р.Белая - г.Стерлитамак""","""4А Грязная""",Маpганец
"""р.Белая - г.Стерлитамак""","""4А Грязная""",Кислоpод
"""р.Белая - г.Стерлитамак""","""4А Грязная""","""Железо общ."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Фенолы летуч."""
"""р.Обь - д.Белогорье""","""4А Грязная""",Медь
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Окисл. Бихp."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Никель
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Медь
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Маpганец
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Кислоpод
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",SO4
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",SO4
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",БПК5
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""",Медь
"""БАССЕЙН КАМЫ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Медь
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",Цинк
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",Хлоpиды
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""","""Окисл. Бихp."""
"""ВДХР КАМСКОЕ - Д.УСТЬ-ПОЖВА""","""4А Грязная""",NO2
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",SO4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""",NH4
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""",БПК5
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",Цинк
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",Хлоpиды
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""","""Железо общ."""
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",Никель
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",Нефтепpод.
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""",Нефтепpод.
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",Медь
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""",SO4
"""р.Белая - г.Уфа""","""3Б Очень загрязненная""",Маpганец
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""",NH4
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""","""Окисл. Бихp."""
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""",Никель
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""",Нефтепpод.
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""",БПК5
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 10,7 КМ НИЖЕ Г. СОЛИКАМСКА""","""3Б Очень загрязненная""",Медь
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""","""Железо общ."""
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ЧУСОВАЯ, Г.ПЕРВОУРАЛЬСК 1,7КМ НИЖЕ Г.ПЕРВОУРАЛЬСК""","""4Б Грязная""","""Окисл. Бихp."""
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""",Маpганец
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""",БПК5
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Цинк
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""","""Окисл. Бихp."""
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""","""Железо общ."""
"""БАССЕЙН ОКИ""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""","""Фенолы летуч."""
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""",Цинк
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""",Хлоpиды
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""","""Окисл. Бихp."""
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",NO2
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""",Маpганец
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""",Кислоpод
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""",БПК5
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""",SO4
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""",Цинк
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""",Хлоpиды
"""р.Кубань - г.Краснодар""","""3А Загрязненная""",Цинк
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""",Нефтепpод.
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""",Медь
"""Р.КЛЯЗЬМА, Г.ОРЕХОВО—ЗУЕВО, НИЖЕ ГОРОДА""","""4Б Грязная""","""Окисл. Бихp."""
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""","""Окисл. Бихp."""
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",Цинк
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""","""Фенолы летуч."""
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""","""Окисл. Бихp."""
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",Нефтепpод.
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",Медь
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""","""Фенолы летуч."""
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",Маpганец
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""","""Железо общ."""
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",БПК5
"""р.УРАЛ - г.ВЕРХНЕУРАЛЬСК""","""3Б Очень загрязненная""",SO4
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",SO4
